               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10227,             0.03484,            0.068048,           0.0048441,             0.84966,            0.034325,            0.011283,            0.065401,            0.024095,            0.057724,              0.0811,              0.0021,              0.0021
                   1,            0.066035,            0.033857,            0.058592,            0.098131,             0.26713,            0.087823,            0.037667,            0.055191,            0.017484,            0.047608,            0.061257,           0.0042574,           0.0042574
                   2,            0.057452,            0.028403,             0.05126,            0.095576,             0.19765,             0.11031,            0.052285,             0.05138,            0.014916,            0.042277,            0.041371,           0.0063713,           0.0063713
                   3,            0.057666,            0.025952,            0.046502,            0.095996,             0.22415,              0.1293,            0.053001,            0.053114,            0.014849,            0.041197,            0.021442,           0.0084416,           0.0084416
                   4,            0.054797,            0.023976,            0.041244,            0.087176,             0.17055,             0.09559,            0.039137,            0.059218,            0.014253,            0.048601,            0.009604,            0.009604,            0.009604
                   5,            0.055593,             0.02554,            0.040324,            0.078282,             0.24528,             0.11113,            0.047977,            0.058152,            0.016434,            0.038301,            0.009604,            0.009604,            0.009604
                   6,            0.049824,            0.024654,            0.042941,             0.15088,             0.28195,             0.10095,            0.046281,            0.053705,            0.022696,            0.043045,            0.009505,            0.009505,            0.009505
                   7,            0.049489,            0.024854,            0.037668,             0.74341,             0.15616,             0.20505,            0.091656,             0.04874,             0.01477,            0.031491,            0.009406,            0.009406,            0.009406
                   8,             0.04654,            0.024727,            0.040705,              0.7542,             0.17779,             0.18269,            0.083088,            0.049496,            0.014525,            0.046932,            0.009307,            0.009307,            0.009307
                   9,            0.046757,            0.024817,            0.038212,             0.30939,             0.25546,             0.22622,             0.12136,            0.046126,            0.014373,            0.035296,            0.009208,            0.009208,            0.009208
                  10,            0.047547,            0.024041,             0.03827,             0.31641,             0.25134,             0.24184,             0.11259,            0.050481,            0.015562,            0.035502,            0.009109,            0.009109,            0.009109
                  11,            0.049125,            0.023917,            0.033707,             0.77944,             0.17493,             0.19816,            0.085739,            0.046329,            0.015236,            0.037906,             0.00901,             0.00901,             0.00901
                  12,            0.047063,            0.024921,            0.034454,             0.20479,             0.24773,             0.22983,             0.11161,            0.047223,            0.015045,            0.040094,            0.008911,            0.008911,            0.008911
                  13,            0.045018,            0.023954,            0.035433,             0.24786,             0.36585,             0.31086,             0.15498,            0.041573,            0.014504,            0.029741,            0.008812,            0.008812,            0.008812
                  14,            0.044029,            0.023194,            0.036206,             0.32882,             0.33401,             0.30928,              0.1573,            0.039438,            0.014369,            0.031092,            0.008713,            0.008713,            0.008713
                  15,            0.042977,            0.024061,            0.033467,             0.34197,             0.39215,             0.36434,             0.19797,            0.038924,            0.014393,            0.025005,            0.008614,            0.008614,            0.008614
                  16,             0.04185,            0.024365,            0.032239,             0.40232,             0.47976,              0.4406,             0.22435,            0.039542,            0.013381,            0.021989,            0.008515,            0.008515,            0.008515
                  17,            0.039989,            0.023555,            0.031153,             0.36778,             0.36873,             0.37596,             0.19551,            0.038896,              0.0152,            0.028411,            0.008416,            0.008416,            0.008416
                  18,             0.03952,            0.023468,            0.030517,             0.38742,             0.34876,             0.26759,             0.13574,            0.044719,            0.016887,            0.041348,            0.008317,            0.008317,            0.008317
                  19,            0.041709,            0.022756,            0.029294,             0.47713,             0.45044,             0.43496,             0.24106,            0.037868,            0.014251,            0.026713,            0.008218,            0.008218,            0.008218
