                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.454,                  2.026,                 1.2924,                 0.6038,                0.44557,                0.38175,                0.23714,                 1.3635,                 1.0214,                 1.1658,             0.00013752,             0.00013752,             0.00013752
                      1,                 1.1091,                0.99971,                 1.0841,                0.73338,                0.42345,                0.46193,                 0.2911,                 1.3042,                0.93389,                 1.1375,             0.00027383,             0.00027383,             0.00027383
                      2,                 1.0638,                0.88325,                 1.0684,                  0.527,                0.57363,                0.51561,                0.32536,                 1.2814,                0.86051,                 1.1382,             0.00040742,             0.00040742,             0.00040742
                      3,                 1.0436,                 0.8306,                 1.0611,                0.57969,                 0.6292,                0.56497,                0.35504,                 1.3037,                0.85276,                 1.1432,              0.0004048,              0.0004048,              0.0004048
                      4,                0.99168,                0.78635,                 1.0376,                 0.5772,                 0.6007,                0.62935,                0.40999,                 1.2727,                0.82942,                 1.1307,              0.0004048,              0.0004048,              0.0004048
                      5,                0.96558,                 0.7469,                 1.0313,                0.67506,                0.50907,                0.55548,                0.33528,                 1.4167,                0.91501,                 1.2138,             0.00040074,             0.00040074,             0.00040074
                      6,                0.96828,                 0.7206,                 1.0338,                0.65159,                0.62254,                 0.6062,                0.39545,                 1.2883,                0.79496,                 1.1378,             0.00039667,             0.00039667,             0.00039667
                      7,                0.94867,                0.68611,                 1.0158,                0.72002,                0.54748,                0.64031,                0.41544,                 1.2657,                 0.7859,                 1.1211,             0.00039261,             0.00039261,             0.00039261
                      8,                0.92366,                0.66809,                 1.0085,                0.66103,                0.68448,                0.68832,                0.44511,                 1.2559,                0.74102,                  1.118,             0.00038854,             0.00038854,             0.00038854
                      9,                0.91294,                0.64976,                 1.0025,                0.68343,                0.75156,                0.72042,                0.47288,                  1.223,                0.74657,                   1.11,             0.00038447,             0.00038447,             0.00038447
                     10,                 0.9072,                 0.6393,                 1.0004,                0.78042,                 0.6584,                0.72768,                 0.4654,                 1.2998,                0.77251,                 1.1472,             0.00038041,             0.00038041,             0.00038041
                     11,                0.90588,                0.63346,                 1.0015,                0.75943,                0.66326,                0.74853,                0.49991,                 1.2299,                0.71388,                 1.1078,             0.00037634,             0.00037634,             0.00037634
                     12,                0.88343,                0.61132,                0.99526,                0.78614,                0.69633,                0.76813,                0.51626,                 1.2276,                0.69511,                 1.1028,             0.00037228,             0.00037228,             0.00037228
                     13,                0.87035,                 0.5948,                0.99037,                0.78417,                0.73533,                0.76312,                0.51324,                    1.2,                0.67528,                 1.0828,             0.00036821,             0.00036821,             0.00036821
                     14,                0.86938,                0.58466,                0.98694,                0.73705,                0.78805,                 0.7862,                 0.5273,                 1.2233,                0.67845,                 1.0965,             0.00036415,             0.00036415,             0.00036415
                     15,                0.85795,                 0.5649,                0.97952,                0.74414,                0.72245,                0.73527,                0.50279,                 1.1823,                0.67749,                 1.0871,             0.00036008,             0.00036008,             0.00036008
                     16,                0.85859,                0.56201,                 0.9808,                0.66537,                0.72783,                0.70118,                0.44127,                 1.3147,                 0.8355,                 1.1599,             0.00035601,             0.00035601,             0.00035601
                     17,                0.84542,                0.55915,                0.97124,                0.78608,                 0.7326,                0.77771,                0.52067,                 1.2108,                0.67523,                 1.0836,             0.00035195,             0.00035195,             0.00035195
                     18,                0.83968,                0.53825,                0.97227,                0.81012,                0.73724,                0.77584,                0.53483,                 1.1661,                0.64476,                 1.0724,             0.00034788,             0.00034788,             0.00034788
                     19,                0.82607,                0.53336,                 0.9687,                 0.7436,                0.70219,                0.77208,                0.52715,                 1.1698,                0.66115,                 1.0837,             0.00034382,             0.00034382,             0.00034382
