                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1986,                 8.3823,                0.89814,                0.73694,                0.81818,                0.83546,                0.33904,                 1.9181,                 10.352,                0.58546,                 0.0001,                 0.0001,                 0.0001
                      1,                 2.2643,                 3.1399,                 0.8585,                0.84975,                0.69697,                0.79889,                0.31951,                  2.295,                 5.8936,                0.60031,             0.00021786,             0.00021786,             0.00021786
                      2,                 2.0378,                 2.2518,                0.84834,                0.84911,                0.68238,                0.70571,                0.29522,                 2.1314,                 3.7295,                0.59956,             0.00033337,             0.00033337,             0.00033337
                      3,                 1.9856,                 1.8941,                0.84851,                0.88708,                0.71447,                0.80614,                0.29512,                 2.0274,                  3.508,                0.58728,             0.00044655,             0.00044655,             0.00044655
                      4,                 1.8517,                 1.6032,                0.84822,                0.95483,                0.87879,                0.94465,                0.36818,                 2.0139,                 2.9549,                0.58717,             0.00055738,             0.00055738,             0.00055738
                      5,                 1.8181,                 1.3293,                 0.8206,                0.85172,                0.87879,                0.89204,                0.38258,                 1.8268,                 2.6115,                0.59123,             0.00066587,             0.00066587,             0.00066587
                      6,                 1.8044,                  1.344,                0.81854,                0.78139,                 0.8667,                0.89041,                0.37007,                  1.849,                 4.4555,                0.57446,             0.00077203,             0.00077203,             0.00077203
                      7,                 1.7161,                  1.249,                0.82325,                0.84766,                0.84323,                 0.8933,                0.31051,                 1.8212,                 3.2455,                0.56892,             0.00087584,             0.00087584,             0.00087584
                      8,                  1.695,                 1.0749,                0.81942,                0.78311,                 0.8754,                0.84002,                0.35547,                 1.9788,                 2.9223,                0.58391,             0.00097732,             0.00097732,             0.00097732
                      9,                 1.6804,                  1.003,                0.81072,                0.75956,                0.87879,                0.86416,                0.31632,                 2.1021,                 4.2246,                0.59583,              0.0010765,              0.0010765,              0.0010765
