                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8373,                    2.4,                 1.4518,                0.38673,                0.27695,                0.22774,                 0.1365,                 1.6545,                 1.9719,                 1.3321,             0.00025573,             0.00025573,             0.00025573
                      1,                 1.6061,                 1.9714,                  1.328,                0.28403,                0.29889,                0.24702,                  0.147,                 1.6315,                 1.9185,                 1.3021,             0.00050707,             0.00050707,             0.00050707
                      2,                 1.5612,                 1.9161,                 1.3053,                0.41502,                0.29638,                0.25549,                0.14752,                 1.6881,                 1.8825,                 1.3025,             0.00075341,             0.00075341,             0.00075341
                      3,                 1.5292,                 1.8805,                 1.2952,                0.43556,                0.32846,                0.27749,                 0.1682,                 1.5633,                  1.815,                 1.2819,             0.00074651,             0.00074651,             0.00074651
                      4,                 1.4923,                 1.8276,                 1.2775,                0.44988,                 0.3407,                0.28508,                0.17218,                 1.5762,                 1.8208,                 1.2689,             0.00074651,             0.00074651,             0.00074651
                      5,                 1.4772,                 1.7932,                 1.2698,                0.46777,                0.33969,                 0.2975,                0.19231,                 1.4619,                 1.7435,                 1.2399,             0.00073901,             0.00073901,             0.00073901
                      6,                 1.4395,                 1.7557,                 1.2512,                0.46656,                0.35066,                0.31468,                0.19714,                 1.5336,                  1.758,                 1.2516,             0.00073151,             0.00073151,             0.00073151
                      7,                 1.4302,                 1.7517,                  1.252,                0.46391,                 0.3404,                0.30966,                0.20262,                 1.4342,                 1.7601,                 1.2355,             0.00072401,             0.00072401,             0.00072401
                      8,                  1.407,                 1.7301,                 1.2401,                0.49345,                0.33958,                0.31074,                0.19869,                 1.4477,                 1.7235,                 1.2225,             0.00071652,             0.00071652,             0.00071652
                      9,                 1.3814,                 1.6898,                 1.2193,                0.49666,                0.31475,                0.31123,                  0.205,                 1.4075,                 1.7369,                 1.2112,             0.00070902,             0.00070902,             0.00070902
                     10,                 1.3785,                 1.6845,                   1.22,                0.50702,                0.35224,                 0.3423,                0.21297,                 1.4898,                 1.6819,                 1.2249,             0.00070152,             0.00070152,             0.00070152
                     11,                 1.3657,                  1.651,                 1.2147,                0.44777,                0.37928,                0.32617,                0.21813,                 1.3938,                 1.6778,                 1.2045,             0.00069402,             0.00069402,             0.00069402
                     12,                 1.3543,                 1.6396,                 1.2063,                0.50457,                0.34491,                0.32582,                0.21477,                 1.3988,                 1.7041,                 1.1944,             0.00068652,             0.00068652,             0.00068652
                     13,                 1.3293,                 1.6103,                 1.1953,                0.47688,                0.37422,                0.33671,                0.22523,                 1.4104,                 1.6643,                 1.2065,             0.00067903,             0.00067903,             0.00067903
                     14,                 1.3209,                 1.6029,                 1.1984,                0.48445,                0.36083,                0.35372,                0.23349,                 1.4258,                 1.6578,                 1.2026,             0.00067153,             0.00067153,             0.00067153
                     15,                 1.3226,                 1.5891,                 1.1944,                0.52442,                 0.3802,                0.36732,                0.24692,                 1.3592,                 1.6221,                  1.195,             0.00066403,             0.00066403,             0.00066403
                     16,                 1.3091,                 1.5806,                 1.1885,                0.45695,                0.38646,                0.35513,                0.23543,                 1.3678,                 1.6404,                 1.1946,             0.00065653,             0.00065653,             0.00065653
                     17,                 1.3033,                 1.5647,                 1.1917,                0.49405,                0.36273,                0.36337,                 0.2383,                 1.4272,                  1.653,                 1.2061,             0.00064904,             0.00064904,             0.00064904
                     18,                  1.282,                 1.5189,                   1.17,                0.50008,                0.40849,                0.37095,                0.24286,                 1.4027,                 1.6344,                 1.1917,             0.00064154,             0.00064154,             0.00064154
                     19,                 1.2764,                 1.5309,                 1.1773,                0.46944,                 0.3903,                0.37569,                0.24996,                 1.3613,                 1.6194,                 1.1925,             0.00063404,             0.00063404,             0.00063404
                     20,                 1.2725,                 1.5106,                 1.1673,                 0.4744,                0.39016,                 0.3765,                0.25244,                 1.3409,                 1.6133,                   1.18,             0.00062654,             0.00062654,             0.00062654
                     21,                 1.2627,                 1.4955,                 1.1696,                0.47306,                0.40172,                0.37424,                0.25394,                  1.354,                  1.632,                 1.1865,             0.00061905,             0.00061905,             0.00061905
                     22,                 1.2619,                 1.4886,                 1.1637,                0.47678,                0.38474,                 0.3775,                0.25922,                 1.3561,                 1.6437,                  1.186,             0.00061155,             0.00061155,             0.00061155
                     23,                 1.2431,                 1.4729,                 1.1608,                0.49794,                0.39533,                0.38284,                0.26539,                 1.3253,                  1.601,                 1.1795,             0.00060405,             0.00060405,             0.00060405
