                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8164,                 2.0965,                 1.4696,                 0.0584,                0.59331,                0.04881,                0.02462,                  1.722,                    inf,                 1.5457,                 0.0004,                 0.0004,                 0.0004
                      1,                 1.6465,                 1.1132,                 1.3559,                0.01442,                0.40734,                0.01034,                0.00486,                 2.4529,                    inf,                 5.0974,             0.00081182,             0.00081182,             0.00081182
                      2,                 1.6191,                 1.0885,                 1.3693,                 0.0391,                0.59524,                0.03571,                0.01822,                 1.7987,                    inf,                 1.8299,              0.0012153,              0.0012153,              0.0012153
                      3,                 1.6481,                 1.0961,                 1.3632,                0.09169,                0.59202,                 0.0749,                0.03701,                 1.7747,                    inf,                 1.8032,              0.0016103,              0.0016103,              0.0016103
                      4,                 1.5992,                 1.0144,                  1.345,                0.37293,                0.49482,                0.30922,                0.12845,                 2.1041,                  5.578,                 2.1272,              0.0019202,              0.0019202,              0.0019202
                      5,                 1.6365,                0.98885,                 1.3518,                0.37413,                0.45624,                0.32558,                0.13925,                 2.1158,                 3.6852,                 2.0924,              0.0019202,              0.0019202,              0.0019202
                      6,                 1.5944,                0.96991,                 1.3463,                0.66388,                0.56564,                 0.5742,                0.28791,                 1.8094,                 1.7745,                  1.762,              0.0019003,              0.0019003,              0.0019003
                      7,                 1.5927,                0.95688,                 1.3439,                0.72366,                0.62613,                0.64445,                0.33039,                 1.8157,                 1.4244,                 1.7533,              0.0018803,              0.0018803,              0.0018803
                      8,                 1.5536,                0.94999,                 1.3257,                0.71563,                 0.6287,                0.63171,                 0.3001,                 1.8508,                 1.6144,                 1.6737,              0.0018603,              0.0018603,              0.0018603
                      9,                 1.5711,                0.94224,                 1.3307,                0.66649,                0.64865,                0.65165,                 0.3087,                 1.8149,                 1.4353,                 1.6089,              0.0018404,              0.0018404,              0.0018404
                     10,                 1.5151,                 0.8894,                 1.2892,                0.76307,                0.72744,                0.75748,                0.38331,                 1.7285,                 1.2417,                 1.5786,              0.0018205,              0.0018205,              0.0018205
                     11,                 1.5277,                0.86847,                  1.314,                0.81924,                0.78455,                0.81583,                0.42928,                 1.7162,                 1.0214,                 1.5006,              0.0018005,              0.0018005,              0.0018005
                     12,                 1.4958,                0.84772,                 1.2917,                0.74268,                0.56648,                 0.6436,                0.31369,                 1.8705,                 1.3233,                 1.6272,              0.0017806,              0.0017806,              0.0017806
                     13,                 1.4885,                0.84229,                 1.2839,                0.82353,                0.75161,                0.82641,                0.44825,                 1.6608,                0.89999,                 1.4492,              0.0017606,              0.0017606,              0.0017606
                     14,                 1.4672,                0.83496,                 1.2718,                0.83265,                 0.7722,                0.82975,                0.47136,                 1.5646,                0.90838,                 1.4246,              0.0017407,              0.0017407,              0.0017407
                     15,                 1.4956,                0.84592,                 1.2906,                0.84404,                 0.8018,                0.84224,                0.46237,                  1.596,                 0.8513,                 1.4328,              0.0017207,              0.0017207,              0.0017207
                     16,                 1.4587,                0.81138,                 1.2737,                0.85665,                0.79344,                0.84982,                0.45388,                  1.658,                0.86555,                 1.4466,              0.0017008,              0.0017008,              0.0017008
                     17,                 1.4515,                0.78193,                 1.2527,                0.85328,                0.81585,                 0.8635,                0.48551,                 1.5809,                0.78877,                    1.4,              0.0016808,              0.0016808,              0.0016808
                     18,                 1.4921,                0.81515,                 1.2893,                0.85839,                  0.787,                0.84518,                0.46315,                 1.6316,                0.85817,                 1.4468,              0.0016608,              0.0016608,              0.0016608
                     19,                 1.4412,                0.79802,                 1.2562,                0.85732,                 0.8166,                0.86408,                 0.4975,                 1.5326,                0.79216,                 1.4086,              0.0016409,              0.0016409,              0.0016409
                     20,                 1.4171,                0.75915,                 1.2325,                0.86043,                0.81328,                 0.8494,                 0.4801,                 1.5559,                0.82373,                  1.402,               0.001621,               0.001621,               0.001621
                     21,                 1.4255,                0.76771,                 1.2468,                0.83207,                 0.8269,                0.85496,                0.48272,                 1.5751,                0.80368,                 1.4071,               0.001601,               0.001601,               0.001601
                     22,                  1.411,                0.75903,                 1.2407,                0.86785,                0.82947,                0.87987,                0.48928,                 1.5693,                0.78273,                 1.3877,              0.0015811,              0.0015811,              0.0015811
                     23,                 1.4251,                0.75387,                 1.2421,                0.85724,                0.81919,                0.86949,                0.49149,                 1.5801,                0.76596,                 1.3805,              0.0015611,              0.0015611,              0.0015611
                     24,                 1.4208,                0.75805,                 1.2313,                0.84817,                0.80373,                0.86395,                0.49503,                 1.5217,                0.81135,                 1.3884,              0.0015412,              0.0015412,              0.0015412
                     25,                 1.3953,                0.75355,                 1.2307,                0.86842,                0.82432,                0.88638,                0.50122,                 1.5527,                0.76429,                  1.383,              0.0015212,              0.0015212,              0.0015212
                     26,                 1.3834,                0.70962,                 1.2227,                0.85466,                0.79408,                0.85716,                0.47952,                 1.5707,                 0.8234,                 1.4262,              0.0015012,              0.0015012,              0.0015012
                     27,                 1.3667,                 0.6952,                   1.21,                0.88822,                0.83269,                0.88697,                0.48617,                 1.5889,                0.77863,                 1.3805,              0.0014813,              0.0014813,              0.0014813
                     28,                 1.3586,                0.69275,                 1.2057,                0.88558,                0.82625,                0.88484,                0.50493,                 1.5226,                0.74822,                 1.3654,              0.0014613,              0.0014613,              0.0014613
                     29,                  1.362,                0.69855,                 1.2126,                0.86322,                0.81918,                0.87071,                0.49591,                 1.5456,                0.77076,                 1.3977,              0.0014414,              0.0014414,              0.0014414
                     30,                 1.3708,                0.69791,                 1.2121,                0.82732,                0.81853,                0.85434,                 0.4874,                 1.5336,                0.80482,                 1.4002,              0.0014214,              0.0014214,              0.0014214
                     31,                 1.3477,                0.70017,                 1.2077,                0.86672,                0.80347,                0.86617,                0.50016,                 1.5394,                0.76189,                 1.3869,              0.0014015,              0.0014015,              0.0014015
                     32,                 1.3356,                0.67968,                 1.1845,                0.88281,                 0.8462,                0.90242,                0.53015,                  1.483,                0.70323,                 1.3727,              0.0013815,              0.0013815,              0.0013815
                     33,                 1.3245,                0.67274,                 1.1986,                0.87758,                0.84878,                0.88866,                 0.5144,                 1.5049,                0.73641,                 1.3629,              0.0013616,              0.0013616,              0.0013616
                     34,                 1.3034,                0.66598,                 1.1809,                0.89231,                0.83181,                 0.8883,                0.52085,                 1.5011,                0.72585,                 1.3619,              0.0013416,              0.0013416,              0.0013416
                     35,                 1.3283,                0.67118,                 1.1883,                0.86659,                0.82765,                0.88293,                0.51584,                 1.5085,                0.75948,                  1.372,              0.0013217,              0.0013217,              0.0013217
                     36,                 1.3148,                 0.6713,                 1.1701,                0.85874,                0.83719,                0.87459,                0.49695,                 1.5586,                0.75012,                 1.3735,              0.0013017,              0.0013017,              0.0013017
                     37,                 1.3067,                0.66123,                 1.1676,                0.87363,                0.84299,                0.88616,                0.51687,                 1.4845,                0.74295,                 1.3568,              0.0012818,              0.0012818,              0.0012818
                     38,                 1.3098,                0.66066,                  1.182,                0.88034,                0.84427,                0.88671,                0.50594,                 1.5416,                0.73927,                 1.3934,              0.0012618,              0.0012618,              0.0012618
                     39,                 1.2881,                0.63426,                 1.1627,                0.88756,                  0.861,                0.90178,                0.52262,                 1.5455,                0.69551,                 1.3843,              0.0012419,              0.0012419,              0.0012419
                     40,                 1.3008,                0.64618,                 1.1705,                0.88824,                0.84898,                0.89359,                0.50944,                 1.5465,                0.71719,                 1.3664,              0.0012219,              0.0012219,              0.0012219
                     41,                  1.296,                0.64067,                 1.1603,                0.86922,                0.87248,                0.89354,                0.51692,                 1.5151,                0.69482,                 1.3532,               0.001202,               0.001202,               0.001202
                     42,                 1.2934,                0.63236,                 1.1625,                0.89005,                0.84685,                0.89788,                0.54375,                 1.4463,                0.67953,                 1.3431,              0.0011821,              0.0011821,              0.0011821
                     43,                 1.2795,                0.62462,                 1.1601,                0.88962,                0.86616,                0.90174,                0.51619,                 1.5619,                0.69168,                  1.352,              0.0011621,              0.0011621,              0.0011621
